,Time_range,Value
0,0.0,859866.0
1,300.0,859314.0
2,600.0,859109.0
3,900.0,858957.0
4,1200.0,858779.0
5,1500.0,858514.0
6,1800.0,858349.0
7,2100.0,858264.0
8,2400.0,858061.0
9,2700.0,857429.0
10,3000.0,857285.0
11,3300.0,857284.0
12,3600.0,857168.0
13,3900.0,857087.0
14,4200.0,857054.0
15,4500.0,856892.0
16,4800.0,856811.0
17,5100.0,856693.0
18,5400.0,856603.0
19,5700.0,856565.0
20,6000.0,856527.0
21,6300.0,856564.0
22,6600.0,856527.0
23,6900.0,856453.0
24,7200.0,856481.0
25,7500.0,856505.0
26,7800.0,856536.0
27,8100.0,856588.0
28,8400.0,856725.0
29,8700.0,856890.0
30,9000.0,857128.0
31,9300.0,857380.0
32,9600.0,857574.0
33,9900.0,857868.0
34,10200.0,858237.0
35,10500.0,858700.0
36,10800.0,859231.0
37,11100.0,859862.0
38,11400.0,860356.0
39,11700.0,861038.0
40,12000.0,861712.0
41,12300.0,862344.0
42,12600.0,863143.0
43,12900.0,863860.0
44,13200.0,864535.0
45,13500.0,865303.0
46,13800.0,866186.0
47,14100.0,866997.0
48,14400.0,868003.0
49,14700.0,869095.0
50,15000.0,870029.0
51,15300.0,871213.0
52,15600.0,872305.0
53,15900.0,873418.0
54,16200.0,874778.0
55,16500.0,876100.0
56,16800.0,877373.0
57,17100.0,878787.0
58,17400.0,879985.0
59,17700.0,881277.0
60,18000.0,882884.0
61,18300.0,884541.0
62,18600.0,885995.0
63,18900.0,887324.0
64,19200.0,888639.0
65,19500.0,890049.0
66,19800.0,891507.0
67,20100.0,892698.0
68,20400.0,893769.0
69,20700.0,895009.0
70,21000.0,896047.0
71,21300.0,896875.0
72,21600.0,898041.0
73,21900.0,898877.0
74,22200.0,899786.0
75,22500.0,900599.0
76,22800.0,901465.0
77,23100.0,902277.0
78,23400.0,903022.0
79,23700.0,903763.0
80,24000.0,904593.0
81,24300.0,905402.0
82,24600.0,906308.0
83,24900.0,907070.0
84,25200.0,907922.0
85,25500.0,908643.0
86,25800.0,909085.0
87,26100.0,909842.0
88,26400.0,910610.0
89,26700.0,911248.0
90,27000.0,911832.0
91,27300.0,912461.0
92,27600.0,913045.0
93,27900.0,913501.0
94,28200.0,914047.0
95,28500.0,914368.0
96,28800.0,915076.0
97,29100.0,915598.0
98,29400.0,915912.0
99,29700.0,916349.0
100,30000.0,916714.0
101,30300.0,917085.0
102,30600.0,917420.0
103,30900.0,917636.0
104,31200.0,918006.0
105,31500.0,918124.0
106,31800.0,918469.0
107,32100.0,918717.0
108,32400.0,918796.0
109,32700.0,919139.0
110,33000.0,919405.0
111,33300.0,919518.0
112,33600.0,919663.0
113,33900.0,919998.0
114,34200.0,920371.0
115,34500.0,920623.0
116,34800.0,920980.0
117,35100.0,921140.0
118,35400.0,921265.0
119,35700.0,921423.0
120,36000.0,921622.0
121,36300.0,921937.0
122,36600.0,921931.0
123,36900.0,921800.0
124,37200.0,921958.0
125,37500.0,922118.0
126,37800.0,922214.0
127,38100.0,922337.0
128,38400.0,922463.0
129,38700.0,922540.0
130,39000.0,922722.0
131,39300.0,922839.0
132,39600.0,922998.0
133,39900.0,923143.0
134,40200.0,923265.0
135,40500.0,923171.0
136,40800.0,923486.0
137,41100.0,923615.0
138,41400.0,923692.0
139,41700.0,923572.0
140,42000.0,923470.0
141,42300.0,923431.0
142,42600.0,923411.0
143,42900.0,923379.0
144,43200.0,923376.0
145,43500.0,923748.0
146,43800.0,923513.0
147,44100.0,923326.0
148,44400.0,923190.0
149,44700.0,923362.0
150,45000.0,923322.0
151,45300.0,923270.0
152,45600.0,923270.0
153,45900.0,923351.0
154,46200.0,923350.0
155,46500.0,923315.0
156,46800.0,923126.0
157,47100.0,923047.0
158,47400.0,922938.0
159,47700.0,922657.0
160,48000.0,922580.0
161,48300.0,922536.0
162,48600.0,922419.0
163,48900.0,922109.0
164,49200.0,921919.0
165,49500.0,921844.0
166,49800.0,921632.0
167,50100.0,921612.0
168,50400.0,921341.0
169,50700.0,921216.0
170,51000.0,920904.0
171,51300.0,920718.0
172,51600.0,920394.0
173,51900.0,919964.0
174,52200.0,919806.0
175,52500.0,919530.0
176,52800.0,919382.0
177,53100.0,919095.0
178,53400.0,918752.0
179,53700.0,918462.0
180,54000.0,918474.0
181,54300.0,918260.0
182,54600.0,917963.0
183,54900.0,917659.0
184,55200.0,917374.0
185,55500.0,917072.0
186,55800.0,916862.0
187,56100.0,916838.0
188,56400.0,916493.0
189,56700.0,916173.0
190,57000.0,915867.0
191,57300.0,915664.0
192,57600.0,915258.0
193,57900.0,914984.0
194,58200.0,914729.0
195,58500.0,914526.0
196,58800.0,914218.0
197,59100.0,913710.0
198,59400.0,913740.0
199,59700.0,913346.0
200,60000.0,913154.0
201,60300.0,912871.0
202,60600.0,912659.0
203,60900.0,912592.0
204,61200.0,912358.0
205,61500.0,912069.0
206,61800.0,911686.0
207,62100.0,911301.0
208,62400.0,910758.0
209,62700.0,910565.0
210,63000.0,910233.0
211,63300.0,909820.0
212,63600.0,909446.0
213,63900.0,908887.0
214,64200.0,908201.0
215,64500.0,908145.0
216,64800.0,907763.0
217,65100.0,907389.0
218,65400.0,907084.0
219,65700.0,906689.0
220,66000.0,906135.0
221,66300.0,905773.0
222,66600.0,905453.0
223,66900.0,905264.0
224,67200.0,904690.0
225,67500.0,904182.0
226,67800.0,903935.0
227,68100.0,903639.0
228,68400.0,903152.0
229,68700.0,902891.0
230,69000.0,902438.0
231,69300.0,902044.0
232,69600.0,901572.0
233,69900.0,900907.0
234,70200.0,900130.0
235,70500.0,899529.0
236,70800.0,898767.0
237,71100.0,898073.0
238,71400.0,897263.0
239,71700.0,896310.0
240,72000.0,895479.0
241,72300.0,894761.0
242,72600.0,894009.0
243,72900.0,892917.0
244,73200.0,892006.0
245,73500.0,890829.0
246,73800.0,889698.0
247,74100.0,888420.0
248,74400.0,887344.0
249,74700.0,886245.0
250,75000.0,885251.0
251,75300.0,884148.0
252,75600.0,882794.0
253,75900.0,881590.0
254,76200.0,880538.0
255,76500.0,879366.0
256,76800.0,878426.0
257,77100.0,877412.0
258,77400.0,876309.0
259,77700.0,875190.0
260,78000.0,874282.0
261,78300.0,873418.0
262,78600.0,872537.0
263,78900.0,871773.0
264,79200.0,870787.0
265,79500.0,869879.0
266,79800.0,869048.0
267,80100.0,868354.0
268,80400.0,867742.0
269,80700.0,867012.0
270,81000.0,866474.0
271,81300.0,865978.0
272,81600.0,865415.0
273,81900.0,864876.0
274,82200.0,864455.0
275,82500.0,864043.0
276,82800.0,863527.0
277,83100.0,863027.0
278,83400.0,862606.0
279,83700.0,862286.0
280,84000.0,861912.0
281,84300.0,861563.0
282,84600.0,861244.0
283,84900.0,860957.0
284,85200.0,860704.0
285,85500.0,860504.0
286,85800.0,860283.0
287,86100.0,860057.0
