,Value,Min_limit,Max_limit
253,880941.0,867925.9644664816,894605.0355335184
254,879940.0,866992.1670577455,893485.8329422545
255,878785.0,865714.5444110461,892436.4555889539
256,877900.0,864910.7503702202,891415.2496297798
257,876923.0,863778.8738568889,890556.1261431111
258,875940.0,862923.1926783746,889325.8073216254
259,874829.0,861811.3530846182,888207.6469153818
260,873972.0,860560.6802337554,887693.3197662446
261,873095.0,860095.1281110212,886417.8718889788
262,872319.0,859284.0208365199,885571.9791634801
263,871615.0,858481.4561022489,884906.5438977511
264,870575.0,857536.4066533042,883825.5933466958
265,869821.0,856717.0528060149,882982.9471939851
266,869104.0,856134.1335194649,882017.8664805351
267,868398.0,855258.347456576,881493.652543424
268,867920.0,854664.6638353716,880997.3361646284
269,867270.0,854256.1217991787,880025.8782008213
270,866651.0,853535.6477708542,879589.3522291458
271,866116.0,853093.0305697443,879000.9694302557
272,865628.0,852851.7846519742,878191.2153480258
273,865091.0,852416.0446489753,877550.9553510247
274,864434.0,852070.2857522184,876818.7142477816
275,864033.0,851621.6857220026,876454.3142779974
276,863705.0,851162.0215995049,876069.9784004951
277,863262.0,850664.7352486114,875624.2647513886
278,862787.0,850295.4225064917,875097.5774935083
279,862437.0,849937.6826216738,874785.3173783262
280,862072.0,849643.8692001583,874340.1307998417
281,861738.0,849385.0898560219,873915.9101439781
282,861367.0,849150.6350480559,873460.3649519441
283,861149.0,848817.5488844914,873288.4511155086
284,860943.0,848551.2569287437,873095.7430712563
285,860686.0,848209.9259186713,872980.0740813287
286,860477.0,848045.5827863656,872714.4172136344
287,859958.0,847866.1654666795,872148.8345333205
288,859866.0,845370.2682888798,869732.7317111202
289,859314.0,844485.063234921,869237.936765079
290,859109.0,844104.5037702557,869036.4962297443
291,858957.0,843652.530154522,868897.469845478
292,858779.0,843374.1775506531,868673.8224493469
293,858514.0,843051.6326873858,868387.3673126142
294,858349.0,842609.7235845742,868255.2764154258
295,858264.0,842258.7803535708,868246.2196464292
296,858061.0,841763.7906134984,868111.2093865016
297,857429.0,841539.2673797556,867348.7326202444
298,857285.0,841289.5255208786,867160.4744791214
299,857284.0,841023.4139569746,867161.5860430254
300,857168.0,840607.1554495675,867163.8445504325
301,857087.0,840450.1949806003,867098.8050193997
302,857054.0,840286.4828874717,867050.5171125283
303,856892.0,840033.1410017838,866874.8589982162
304,856811.0,839954.1932124671,866754.8067875329
305,856693.0,839795.3958306349,866655.6041693651
306,856603.0,839615.4270077678,866563.5729922322
307,856565.0,839296.4753623145,866622.5246376855
308,856527.0,839077.230022597,866642.769977403
309,856564.0,838785.7462977349,866792.2537022651
310,856527.0,838556.0150545909,866769.9849454091
311,856453.0,838523.9567751439,866627.0432248561
312,856481.0,838433.6567455668,866670.3432544332
313,856505.0,838330.4199027113,866736.5800972887
314,856536.0,838231.2325045946,866863.7674954054
315,856588.0,838142.2419107372,867061.7580892628
316,856725.0,837986.5239885472,867448.4760114528
317,856890.0,837896.9725976227,867867.0274023773
318,857128.0,837707.5435164736,868477.4564835264
319,857380.0,837585.1121409687,869127.8878590313
320,857574.0,837447.4960950848,869650.5039049152
321,857868.0,837496.1327231782,870272.8672768218
322,858237.0,837560.973989972,871000.026010028
323,858700.0,837501.403531933,871989.596468067
324,859231.0,837440.5425944563,873190.4574055437
325,859862.0,837345.480487324,874590.519512676
326,860356.0,837342.7228746811,875607.2771253189
327,861038.0,837159.9499363588,877189.0500636412
328,861712.0,836986.4563875893,878700.5436124107
329,862344.0,836999.7725387623,880128.2274612377
330,863143.0,836891.8377497017,881901.1622502983
331,863860.0,836713.9634575127,883673.0365424873
332,864535.0,836592.4408287172,885298.5591712828
333,865303.0,836538.5535211277,886892.4464788723
334,866186.0,836366.9147938959,888781.0852061041
335,866997.0,836313.1039819288,890497.8960180712
336,868003.0,836424.2619049234,892603.7380950766
337,869095.0,-435120.37178450683,2166429.371784507
338,870029.0,-435683.68497819034,2169081.6849781903
339,871213.0,-436251.71704834304,2172116.7170483433
340,872305.0,835868.007870811,902188.992129189
341,873418.0,835697.0151873758,904783.9848126242
342,874778.0,835744.352089094,907532.647910906
343,876100.0,835534.3835292319,910557.6164707681
344,877373.0,835596.2394620213,913261.7605379787
345,878787.0,835494.2038365244,916254.7961634756
346,879985.0,835392.0325977791,918932.9674022209
347,881277.0,835618.7679141533,921448.2320858467
348,882884.0,835878.9229093469,924437.0770906531
349,884541.0,836129.0092324432,927626.9907675568
350,885995.0,836361.7574932049,930355.2425067951
351,887324.0,836564.499564338,932969.500435662
352,888639.0,836974.4049121229,935304.5950878771
353,890049.0,837190.9916295038,937872.0083704962
354,891507.0,837682.8058350392,940388.1941649608
355,892698.0,838208.9832297806,942501.0167702194
356,893769.0,838848.4791334589,944232.5208665411
357,895009.0,839750.0667993518,945798.9332006482
358,896047.0,840604.3854509217,947115.6145490783
359,896875.0,841108.0865481205,948400.9134518795
360,898041.0,842154.1961602872,949638.8038397128
361,898877.0,843149.9337162521,950582.0662837479
362,899786.0,844073.1632579644,951632.8367420356
363,900599.0,845111.987535428,952376.012464572
364,901465.0,846380.1059038269,953049.8940961731
365,902277.0,847604.9977137027,953453.0022862973
366,903022.0,848606.7757138284,954165.2242861716
367,903763.0,849490.0392660984,954828.9607339016
368,904593.0,850587.3401119013,955640.6598880987
369,905402.0,851558.6456543022,956519.3543456978
370,906308.0,852848.5992521554,956934.4007478446
371,907070.0,854007.3276976903,957273.6723023097
372,907922.0,855231.48065478,957724.51934522
373,908643.0,856475.5796469301,957995.4203530699
374,909085.0,857945.418083797,957623.581916203
375,909842.0,859144.2732061925,957816.7267938075
376,910610.0,860052.7351552709,958366.2648447291
377,911248.0,860997.2465335486,958773.7534664514
378,911832.0,862286.0142252841,958733.9857747159
379,912461.0,863609.6876795886,958814.3123204114
380,913045.0,864500.4132084346,959103.5867915654
381,913501.0,865794.4783194168,958815.5216805832
382,914047.0,866733.537307624,958993.462692376
383,914368.0,867542.5786402338,958987.4213597662
384,915076.0,868412.5621644894,959493.4378355106
385,915598.0,869065.0793170624,960088.9206829376
386,915912.0,869741.4378688027,960247.5621311973
387,916349.0,870700.840382578,960135.159617422
388,916714.0,871603.8115230659,959982.1884769341
389,917085.0,872442.1852054582,959998.8147945418
390,917420.0,873478.4105264086,959738.5894735914
391,917636.0,873697.3763092208,960306.6236907792
392,918006.0,874438.4349367833,960266.5650632167
393,918124.0,875292.3298151857,959869.6701848143
394,918469.0,875993.6421678531,959901.3578321469
395,918717.0,876548.7100131235,959918.2899868765
396,918796.0,876995.6760517947,960073.3239482053
397,919139.0,877691.430677359,959944.569322641
398,919405.0,878127.5907197396,960182.4092802604
399,919518.0,878657.2958670761,959909.7041329239
400,919663.0,878731.4986501577,960222.5013498423
401,919998.0,879455.5582846268,960141.4417153732
402,920371.0,879709.9232755621,960675.0767244379
403,920623.0,879954.0357814436,960805.9642185564
404,920980.0,880687.5681364058,960659.4318635942
405,921140.0,880911.2492408511,960852.7507591489
406,921265.0,881230.5451601609,960819.4548398391
407,921423.0,881379.8778910147,960942.1221089853
408,921622.0,881726.5500510912,961045.4499489088
409,921937.0,881782.3928496685,961476.6071503315
410,921931.0,881934.836272354,961364.163727646
411,921800.0,882009.4681700671,961219.5318299329
412,921958.0,882257.1072506332,961230.8927493668
413,922118.0,882441.4948710791,961210.5051289209
414,922214.0,882128.2827766757,961805.7172233243
415,922337.0,882359.7182194995,961911.2817805005
416,922463.0,882453.5040790567,962067.4959209433
417,922540.0,882574.340146353,962009.659853647
418,922722.0,882845.4935596752,962150.5064403248
419,922839.0,883296.6115233896,962089.3884766104
420,922998.0,883497.9108288557,962122.0891711443
421,923143.0,883989.9718920582,961895.0281079418
422,923265.0,884141.9995113232,961903.0004886768
423,923171.0,884578.8778807225,961518.1221192775
424,923486.0,884780.9481456126,961867.0518543874
425,923615.0,884947.0458625535,961877.9541374465
426,923692.0,885066.3390077206,961863.6609922794
427,923572.0,885422.6384829992,961408.3615170008
428,923470.0,885396.9020991295,961576.0979008705
429,923431.0,885413.1612690485,961521.8387309515
430,923411.0,885619.854507257,961225.145492743
431,923379.0,885947.584969311,960983.415030689
432,923376.0,886146.6155266841,960960.3844733159
433,923748.0,886120.7278445548,961607.2721554452
434,923513.0,885992.2139670756,961504.7860329244
435,923326.0,886181.8956572218,961120.1043427782
436,923190.0,-463632.6325653137,2286515.632565314
437,923362.0,886651.3727553375,960597.6272446625
438,923322.0,886923.6987465954,960132.3012534046
439,923270.0,886767.0761193803,960361.9238806197
440,923270.0,887077.4838971479,960092.5161028521
441,923351.0,887123.8383479719,960182.1616520281
442,923350.0,887410.182862811,959846.817137189
443,923315.0,887469.0687583869,959572.9312416131
444,923126.0,887824.2949487877,959056.7050512123
445,923047.0,887923.361425818,958773.638574182
446,922938.0,886940.5730839812,959627.4269160188
447,922657.0,888138.3056838737,957921.6943161263
448,922580.0,888672.6274012391,957133.3725987609
449,922536.0,888990.0170507466,956684.9829492534
450,922419.0,889039.0049311212,956112.9950688788
451,922109.0,888521.1198252457,956419.8801747543
452,921919.0,889134.2591470315,955528.7408529685
453,921844.0,889920.8943510059,954550.1056489941
454,921632.0,890322.4127476937,953687.5872523063
455,921612.0,890380.1510354285,953515.8489645715
456,921341.0,890222.428588535,953153.571411465
457,921216.0,890113.8631034008,952935.1368965992
458,920904.0,890425.2494011867,952109.7505988133
459,920718.0,890914.0951087105,951202.9048912895
460,920394.0,891041.3030643929,950625.6969356071
461,919964.0,891193.8301481691,949633.1698518309
462,919806.0,891700.2613415383,948774.7386584617
463,919530.0,891777.7990834063,948193.2009165937
464,919382.0,891732.896052613,947742.103947387
465,919095.0,891981.197634186,946934.802365814
466,918752.0,892113.2285301059,946162.7714698941
467,918462.0,892491.3654965045,945246.6345034955
468,918474.0,892652.6657688739,944972.3342311261
469,918260.0,892975.8553151771,944220.1446848229
470,917963.0,893087.7196755426,943515.2803244574
471,917659.0,892977.4484339838,942879.5515660162
472,917374.0,892989.7684319129,942513.2315680871
473,917072.0,893391.060851751,941507.939148249
474,916862.0,893660.7266702958,940883.2733297042
475,916838.0,893489.9375899648,940774.0624100352
476,916493.0,893763.6039484532,940113.3960515468
477,916173.0,893871.999972589,939474.000027411
478,915867.0,894085.7902316495,938567.2097683505
479,915664.0,894046.898654881,937976.101345119
480,915258.0,894223.8048091161,937192.1951908839
481,914984.0,894150.3819115538,936798.6180884462
482,914729.0,894371.7598367973,936236.2401632027
483,914526.0,894404.1694949921,935692.8305050079
484,914218.0,894347.7728872073,935170.2271127927
485,913710.0,894188.5472433188,934453.4527566812
486,913740.0,894079.0231498901,934251.9768501099
487,913346.0,893936.2622613062,933761.7377386938
488,913154.0,893828.1546031248,933414.8453968752
489,912871.0,894041.4364042939,932711.5635957061
490,912659.0,893865.9356941987,932420.0643058013
491,912592.0,893648.5672572246,932235.4327427754
492,912358.0,891503.8026343761,933654.1973656239
493,912069.0,890977.5204765461,933660.4795234539
494,911686.0,892077.4120747803,931656.5879252197
495,911301.0,892472.4128449592,930542.5871550408
496,910758.0,892482.4061810147,929500.5938189853
497,910565.0,892741.4948853943,928472.5051146057
498,910233.0,892904.365240741,927664.634759259
499,909820.0,892389.2966356494,927272.7033643506
500,909446.0,892414.4882730976,926417.5117269024
501,908887.0,892593.7122649538,925214.2877350462
502,908201.0,891746.8519657819,924773.1480342181
503,908145.0,891685.4884435517,924394.5115564483
504,907763.0,891515.1561232026,923854.8438767974
505,907389.0,891248.0601368162,923141.9398631838
506,907084.0,891101.0498524036,922588.9501475964
507,906689.0,891614.2676333186,921291.7323666814
508,906135.0,891489.9627952486,920411.0372047514
509,905773.0,891559.0282379935,919747.9717620065
510,905453.0,890840.1339541066,919864.8660458934
511,905264.0,890307.007195161,919805.992804839
512,904690.0,889951.5584853782,919296.4415146218
513,904182.0,889015.2574370304,919445.7425629696
514,903935.0,889292.8954247081,918633.1045752919
515,903639.0,888669.4688917582,918436.5311082418
516,903152.0,888202.5461343784,917925.4538656216
517,902891.0,887875.2407646988,917347.7592353012
518,902438.0,887013.0567369906,917204.9432630094
519,902044.0,887364.0677500557,915935.9322499443
520,901572.0,887106.4215204477,915161.5784795523
521,900907.0,886469.1870510268,914649.8129489732
522,900130.0,885872.7667483104,913894.2332516896
523,899529.0,885503.7651900842,912861.2348099158
524,898767.0,884707.5910483366,912187.4089516634
525,898073.0,883874.9627155208,911373.0372844792
526,897263.0,883127.4207531975,910658.5792468025
527,896310.0,882545.4210411564,909521.5789588436
528,895479.0,881612.3674046261,908715.6325953739
529,894761.0,880441.0506055196,908189.9493944804
530,894009.0,879256.9931798223,907702.0068201777
531,892917.0,878553.8320179585,906408.1679820415
532,892006.0,877751.3252573243,905267.6747426757
533,890829.0,876899.386103341,903829.613896659
534,889698.0,875955.2466659445,902480.7533340555
535,888420.0,874655.5936195743,901423.4063804257
536,887344.0,873617.141946812,900311.858053188
537,886245.0,872437.2088865796,899251.7911134204
538,885251.0,871466.9452067353,898400.0547932647
539,884148.0,870247.1279062943,897391.8720937057
540,882794.0,869060.3617479225,895960.6382520775
541,881590.0,867925.9644664816,894605.0355335184
542,880538.0,866992.1670577455,893485.8329422545
543,879366.0,865714.5444110461,892436.4555889539
544,878426.0,864910.7503702202,891415.2496297798
545,877412.0,863778.8738568889,890556.1261431111
546,876309.0,862923.1926783746,889325.8073216254
547,875190.0,861811.3530846182,888207.6469153818
548,874282.0,860560.6802337554,887693.3197662446
549,873418.0,860095.1281110212,886417.8718889788
550,872537.0,859284.0208365199,885571.9791634801
551,871773.0,858481.4561022489,884906.5438977511
552,870787.0,857536.4066533042,883825.5933466958
553,869879.0,856717.0528060149,882982.9471939851
554,869048.0,856134.1335194649,882017.8664805351
555,868354.0,855258.347456576,881493.652543424
556,867742.0,854664.6638353716,880997.3361646284
557,867012.0,854256.1217991787,880025.8782008213
558,866474.0,853535.6477708542,879589.3522291458
559,865978.0,853093.0305697443,879000.9694302557
560,865415.0,852851.7846519742,878191.2153480258
561,864876.0,852416.0446489753,877550.9553510247
562,864455.0,852070.2857522184,876818.7142477816
563,864043.0,851621.6857220026,876454.3142779974
564,863527.0,851162.0215995049,876069.9784004951
565,863027.0,850664.7352486114,875624.2647513886
566,862606.0,850295.4225064917,875097.5774935083
567,862286.0,849937.6826216738,874785.3173783262
568,861912.0,849643.8692001583,874340.1307998417
569,861563.0,849385.0898560219,873915.9101439781
570,861244.0,849150.6350480559,873460.3649519441
571,860957.0,848817.5488844914,873288.4511155086
572,860704.0,848551.2569287437,873095.7430712563
573,860504.0,848209.9259186713,872980.0740813287
574,860283.0,848045.5827863656,872714.4172136344
575,860057.0,847866.1654666795,872148.8345333205
576,859743.0,845370.2682888798,869732.7317111202
577,859284.0,844485.063234921,869237.936765079
578,859018.0,844104.5037702557,869036.4962297443
579,858719.0,843652.530154522,868897.469845478
580,858554.0,843374.1775506531,868673.8224493469
581,858310.0,843051.6326873858,868387.3673126142
582,858070.0,842609.7235845742,868255.2764154258
583,857923.0,842258.7803535708,868246.2196464292
584,857660.0,841763.7906134984,868111.2093865016
585,857406.0,841539.2673797556,867348.7326202444
586,857216.0,841289.5255208786,867160.4744791214
587,857041.0,841023.4139569746,867161.5860430254
588,856790.0,840607.1554495675,867163.8445504325
589,856710.0,840450.1949806003,867098.8050193997
590,856656.0,840286.4828874717,867050.5171125283
591,856556.0,840033.1410017838,866874.8589982162
592,856442.0,839954.1932124671,866754.8067875329
593,856342.0,839795.3958306349,866655.6041693651
594,856231.0,839615.4270077678,866563.5729922322
595,856219.0,839296.4753623145,866622.5246376855
596,856232.0,839077.230022597,866642.769977403
597,856221.0,838785.7462977349,866792.2537022651
598,856171.0,838556.0150545909,866769.9849454091
599,856130.0,838523.9567751439,866627.0432248561
600,856156.0,838433.6567455668,866670.3432544332
601,856218.0,838330.4199027113,866736.5800972887
602,856258.0,838231.2325045946,866863.7674954054
603,856311.0,838142.2419107372,867061.7580892628
604,856380.0,837986.5239885472,867448.4760114528
605,856615.0,837896.9725976227,867867.0274023773
606,856797.0,837707.5435164736,868477.4564835264
607,856837.0,837585.1121409687,869127.8878590313
608,857185.0,837447.4960950848,869650.5039049152
609,857553.0,837496.1327231782,870272.8672768218
610,857892.0,837560.973989972,871000.026010028
611,858299.0,837501.403531933,871989.596468067
