,Time_range,Value
0,0.0,860541.0
1,300.0,859958.0
2,600.0,859707.0
3,900.0,859525.0
4,1200.0,859247.0
5,1500.0,859025.0
6,1800.0,858793.0
7,2100.0,858578.0
8,2400.0,858389.0
9,2700.0,858207.0
10,3000.0,858025.0
11,3300.0,857810.0
12,3600.0,857616.0
13,3900.0,857553.0
14,4200.0,857527.0
15,4500.0,857404.0
16,4800.0,857303.0
17,5100.0,857189.0
18,5400.0,857095.0
19,5700.0,857085.0
20,6000.0,857059.0
21,6300.0,856975.0
22,6600.0,856915.0
23,6900.0,856845.0
24,7200.0,856872.0
25,7500.0,856928.0
26,7800.0,856923.0
27,8100.0,857018.0
28,8400.0,857166.0
29,8700.0,857347.0
30,9000.0,857577.0
31,9300.0,857797.0
32,9600.0,858048.0
33,9900.0,858347.0
34,10200.0,858700.0
35,10500.0,859170.0
36,10800.0,859767.0
37,11100.0,860420.0
38,11400.0,860984.0
39,11700.0,861711.0
40,12000.0,862401.0
41,12300.0,863109.0
42,12600.0,863968.0
43,12900.0,864843.0
44,13200.0,865620.0
45,13500.0,866318.0
46,13800.0,867159.0
47,14100.0,867904.0
48,14400.0,868996.0
49,14700.0,870155.0
50,15000.0,871284.0
51,15300.0,872423.0
52,15600.0,873651.0
53,15900.0,874917.0
54,16200.0,876266.0
55,16500.0,877710.0
56,16800.0,879044.0
57,17100.0,880494.0
58,17400.0,881997.0
59,17700.0,883343.0
60,18000.0,884742.0
61,18300.0,886193.0
62,18600.0,887569.0
63,18900.0,888966.0
64,19200.0,890342.0
65,19500.0,891720.0
66,19800.0,893110.0
67,20100.0,894410.0
68,20400.0,895575.0
69,20700.0,896492.0
70,21000.0,897627.0
71,21300.0,898881.0
72,21600.0,899903.0
73,21900.0,900777.0
74,22200.0,901714.0
75,22500.0,902539.0
76,22800.0,903222.0
77,23100.0,903982.0
78,23400.0,904849.0
79,23700.0,905799.0
80,24000.0,906556.0
81,24300.0,907577.0
82,24600.0,908444.0
83,24900.0,909227.0
84,25200.0,910058.0
85,25500.0,910646.0
86,25800.0,911332.0
87,26100.0,912127.0
88,26400.0,912768.0
89,26700.0,913297.0
