,Time_range,Value
0,0.0,851936.0
1,300.0,851297.0
2,600.0,851048.0
3,900.0,850859.0
4,1200.0,850645.0
5,1500.0,850435.0
6,1800.0,850200.0
7,2100.0,849956.0
8,2400.0,849722.0
9,2700.0,849561.0
10,3000.0,849445.0
11,3300.0,849293.0
12,3600.0,849025.0
13,3900.0,848955.0
14,4200.0,848972.0
15,4500.0,848883.0
16,4800.0,848832.0
17,5100.0,848704.0
18,5400.0,848636.0
19,5700.0,848575.0
20,6000.0,848524.0
21,6300.0,848390.0
22,6600.0,848374.0
23,6900.0,848390.0
24,7200.0,848439.0
25,7500.0,848482.0
26,7800.0,848559.0
27,8100.0,848616.0
28,8400.0,848710.0
29,8700.0,848874.0
30,9000.0,849057.0
31,9300.0,849333.0
32,9600.0,849524.0
33,9900.0,849901.0
34,10200.0,850324.0
35,10500.0,850791.0
36,10800.0,851400.0
37,11100.0,852074.0
38,11400.0,852594.0
39,11700.0,853311.0
40,12000.0,853975.0
41,12300.0,854784.0
42,12600.0,855650.0
43,12900.0,856527.0
44,13200.0,857356.0
45,13500.0,858128.0
46,13800.0,858962.0
47,14100.0,859814.0
48,14400.0,861025.0
49,14700.0,862214.0
50,15000.0,863369.0
51,15300.0,864652.0
52,15600.0,865752.0
53,15900.0,867063.0
54,16200.0,868499.0
55,16500.0,869992.0
56,16800.0,871485.0
57,17100.0,872962.0
58,17400.0,874340.0
59,17700.0,875790.0
60,18000.0,877432.0
61,18300.0,879215.0
62,18600.0,880722.0
63,18900.0,882210.0
64,19200.0,883640.0
65,19500.0,885014.0
66,19800.0,886564.0
67,20100.0,888012.0
68,20400.0,889312.0
69,20700.0,890540.0
70,21000.0,891673.0
71,21300.0,892634.0
72,21600.0,893752.0
73,21900.0,894855.0
74,22200.0,895920.0
75,22500.0,896889.0
76,22800.0,897965.0
77,23100.0,898781.0
78,23400.0,899750.0
79,23700.0,900556.0
80,24000.0,901635.0
81,24300.0,902676.0
82,24600.0,903475.0
83,24900.0,904211.0
84,25200.0,905034.0
85,25500.0,905828.0
86,25800.0,906484.0
87,26100.0,907119.0
88,26400.0,907809.0
89,26700.0,908523.0
90,27000.0,909188.0
91,27300.0,909963.0
92,27600.0,910559.0
93,27900.0,911109.0
94,28200.0,911680.0
95,28500.0,912162.0
96,28800.0,912830.0
97,29100.0,913556.0
98,29400.0,914077.0
99,29700.0,914487.0
100,30000.0,914872.0
101,30300.0,915356.0
102,30600.0,915797.0
103,30900.0,916368.0
104,31200.0,916699.0
105,31500.0,917038.0
106,31800.0,917426.0
107,32100.0,917750.0
108,32400.0,918273.0
109,32700.0,918497.0
110,33000.0,918905.0
111,33300.0,919049.0
112,33600.0,919291.0
113,33900.0,919599.0
114,34200.0,920014.0
115,34500.0,920137.0
116,34800.0,920367.0
117,35100.0,920624.0
118,35400.0,920785.0
119,35700.0,920899.0
120,36000.0,921150.0
121,36300.0,921322.0
122,36600.0,921368.0
123,36900.0,921429.0
124,37200.0,921530.0
125,37500.0,921534.0
126,37800.0,921720.0
127,38100.0,921934.0
128,38400.0,922058.0
129,38700.0,922044.0
130,39000.0,922274.0
131,39300.0,922547.0
132,39600.0,922622.0
133,39900.0,922742.0
134,40200.0,922780.0
135,40500.0,922926.0
136,40800.0,923162.0
137,41100.0,923210.0
138,41400.0,923238.0
139,41700.0,923259.0
140,42000.0,923503.0
141,42300.0,923504.0
142,42600.0,923434.0
143,42900.0,923552.0
144,43200.0,923731.0
145,43500.0,923980.0
146,43800.0,923984.0
147,44100.0,923976.0
148,44400.0,0.0
149,44700.0,923887.0
150,45000.0,923734.0
151,45300.0,923859.0
152,45600.0,923900.0
153,45900.0,923955.0
154,46200.0,923907.0
155,46500.0,923727.0
156,46800.0,923755.0
157,47100.0,923650.0
158,47400.0,923630.0
159,47700.0,923403.0
160,48000.0,923226.0
161,48300.0,923139.0
162,48600.0,922733.0
163,48900.0,922832.0
164,49200.0,922744.0
165,49500.0,922627.0
166,49800.0,922378.0
167,50100.0,922284.0
168,50400.0,922035.0
169,50700.0,921833.0
170,51000.0,921631.0
171,51300.0,921399.0
172,51600.0,921273.0
173,51900.0,920863.0
174,52200.0,920669.0
175,52500.0,920441.0
176,52800.0,920093.0
177,53100.0,919821.0
178,53400.0,919524.0
179,53700.0,919276.0
180,54000.0,919151.0
181,54300.0,918936.0
182,54600.0,918640.0
183,54900.0,918198.0
184,55200.0,918129.0
185,55500.0,917827.0
186,55800.0,917682.0
187,56100.0,917426.0
188,56400.0,917384.0
189,56700.0,917173.0
190,57000.0,916786.0
191,57300.0,916359.0
192,57600.0,916158.0
193,57900.0,915965.0
194,58200.0,915879.0
195,58500.0,915571.0
196,58800.0,915300.0
197,59100.0,914932.0
198,59400.0,914591.0
199,59700.0,914352.0
200,60000.0,914089.0
201,60300.0,913882.0
202,60600.0,913627.0
203,60900.0,913292.0
204,61200.0,912800.0
205,61500.0,912737.0
206,61800.0,912336.0
207,62100.0,911827.0
208,62400.0,911427.0
209,62700.0,911145.0
210,63000.0,910705.0
211,63300.0,910394.0
212,63600.0,910110.0
213,63900.0,909506.0
214,64200.0,909208.0
215,64500.0,908679.0
216,64800.0,908304.0
217,65100.0,907940.0
218,65400.0,907582.0
219,65700.0,906969.0
220,66000.0,906474.0
221,66300.0,905966.0
222,66600.0,905783.0
223,66900.0,905553.0
224,67200.0,905236.0
225,67500.0,904920.0
226,67800.0,904407.0
227,68100.0,904049.0
228,68400.0,903647.0
229,68700.0,903285.0
230,69000.0,902677.0
231,69300.0,902181.0
232,69600.0,901719.0
233,69900.0,901182.0
234,70200.0,900489.0
235,70500.0,899735.0
236,70800.0,898910.0
237,71100.0,898191.0
238,71400.0,897487.0
239,71700.0,896637.0
240,72000.0,895624.0
241,72300.0,894885.0
242,72600.0,893937.0
243,72900.0,892983.0
244,73200.0,891925.0
245,73500.0,890960.0
246,73800.0,889893.0
247,74100.0,888851.0
248,74400.0,887746.0
249,74700.0,886771.0
250,75000.0,885667.0
251,75300.0,884705.0
252,75600.0,883591.0
253,75900.0,882259.0
254,76200.0,881197.0
255,76500.0,880148.0
256,76800.0,879118.0
257,77100.0,878086.0
258,77400.0,877032.0
259,77700.0,876001.0
260,78000.0,874974.0
261,78300.0,874094.0
262,78600.0,873244.0
263,78900.0,872417.0
264,79200.0,871428.0
265,79500.0,870616.0
266,79800.0,869924.0
267,80100.0,869144.0
268,80400.0,868524.0
269,80700.0,867978.0
270,81000.0,867416.0
271,81300.0,866756.0
272,81600.0,866025.0
273,81900.0,865468.0
274,82200.0,865008.0
275,82500.0,864646.0
276,82800.0,864140.0
277,83100.0,863724.0
278,83400.0,863307.0
279,83700.0,862971.0
280,84000.0,862601.0
281,84300.0,862272.0
282,84600.0,862068.0
283,84900.0,861727.0
284,85200.0,861476.0
285,85500.0,861272.0
286,85800.0,861047.0
287,86100.0,860818.0
